Material,Space Group,Exp1,Epbe,Egwg,Exp2,Mean
CaO,225,6.93,3.63,6.61,7.8,7.365
MgO,225,7.67,4.74,8.06,7.9,7.785
ZnO,186,3.44,0.78,3.14,3.48,3.46
CoOd.,225,2.6,0,2.47,3.6,3.1
NiOde,225,3.7,0.7,3.75,4.3,4
MnOd.,225,3.7,0.76,3.50,3.9,3.8
In2O,167,3.02,1.3,3.10,3.26,3.14
CdO®,225,0.84,0.28,1.07,1.09,0.965
"SnO2""",136,3.59,1.25,3.60,3.99,3.79
CuAlO2,166,3,1.92,4.96,3.5,3.25
CuGaO2',166,3.6,2.4,4.03,3.6,3.6
CuInO2,166,3.9,0.42,3.53,3.9,3.9
VO,136,0.6,0,0.46,0.7,0.65
Cu2O,201,2.17,0.2,2.25,2.75,2.46
"SrTiO,2",140,3.25,1.75,3.36,3.3,3.275
TiO2 (rutile)?,136,3.3,1.8,3.18,3.3,3.3
TiO2 (anatase),141,3.4,2.08,3.71,3.4,3.4
SiO (a-cristobalite)?,92,8.9,6.52,8.36,8.9,8.9
SiO2 (a-quartz),154,9.65,7.79,8.77,9.65,9.65
t-ZrO,131,5.78,4.12,5.87,6,5.89
Fe2O3,167,2,0.6,1.30,2.02,2.01
