Compounds,Egap,Egap_fit:,Egap_type:
Ag4F24Sb4,3.3742,5.46142,insulator-direct
Ag4F24Sb4,3.3702,5.45603,insulator-direct
Ag1Te3,0,0,metal
Ag12Au4Se8,0.4342,1.4983,insulator-direct
Ag12Au4Se8,0.4228,1.48293,insulator-direct
Ag12Au4Te8,0.5849,1.70145,insulator-indirect
Ag12Au4Te8,0.58,1.69484,insulator-indirect
Ag12Au4Te8,0.5661,1.6761,insulator-indirect
Ag12Au4Te8,0.578,1.69214,insulator-indirect
Ag12Au4Te8,0.5663,1.67637,insulator-indirect
Ag6Ge6P12Sn4,0.3138,1.336,insulator-indirect
Ag6P12Si6Sn4,0.3779,1.42241,insulator-indirect
Ag10Cd16,0,0,metal
Ag10Zn16,0,0,metal
Ag6Ge10P12,0.5947,1.71466,insulator-indirect
Ag16Ca6,0,0,metal
Ag13Al36Mg32,0,0,metal
Ag30Cl6P8S32,1.7522,3.27497,insulator-indirect
Ag16Ca6N1,0,0,metal
Al4H48N12O60,3.3974,5.4927,insulator-indirect
Al8Li24N16,2.9381,4.87356,insulator-indirect
Al8O72P24,5.6199,8.48863,insulator-direct
Al1,0,0,metal
Al8Ba12O48Si12,3.2937,5.35291,insulator-direct
Al4Ca6F28Na4,7.1142,10.5029,insulator-indirect
Al8Ca12H48O48,4.1147,6.45962,insulator-indirect
Al8Ca12H48O48,4.1138,6.4584,insulator-indirect
Al8Ca12H48O48,4.1429,6.49763,insulator-indirect
Al8Ca12H48O48,4.1044,6.44573,insulator-indirect
Al8Ca12O48Si12,4.9997,7.6526,insulator-direct
Al8Ca12O48Si12,5.0054,7.66028,insulator-direct
Al8Ca12O48Si12,5.0006,7.65381,insulator-direct
Al8Ca12O48Si12,4.9977,7.6499,insulator-direct
Al8Ca12O48Si12,4.9977,7.6499,insulator-direct
Al8Ca12O48Si12,4.9986,7.65111,insulator-direct
Al8Ca12O48Si12,4.9988,7.65138,insulator-direct
Al8Ca12O48Si12,5.0009,7.65421,insulator-direct
Al8Ca12O48Si12,4.999,7.65165,insulator-direct
Al8Ca12O48Si12,4.9999,7.65287,insulator-direct
Al8Ca12O48Si12,4.9993,7.65206,insulator-direct
Al8Ca12O48Si12,4.9953,7.64666,insulator-direct
Al8Ca12O48Si12,4.9994,7.65219,insulator-direct
Al8Ca12O48Si12,4.9982,7.65057,insulator-direct
Al8Ca12O48Si12,4.9952,7.64653,insulator-direct
Al8Ca12O48Si12,4.9971,7.64909,insulator-direct
Al8Ca12O48Si12,5.0001,7.65313,insulator-direct
Al8Ca12O48Si12,4.9985,7.65098,insulator-direct
Al8Ca12O48Si12,4.9985,7.65098,insulator-direct
Al8Ca12O48Si12,4.9987,7.65125,insulator-direct
Al8Ca12O48Si12,4.9996,7.65246,insulator-direct
Al8Ca12O48Si12,4.9997,7.6526,insulator-direct
Al8Ca12O48Si12,4.9997,7.6526,insulator-direct
Al8Ca12O48Si12,5,7.653,insulator-direct
Al8Ca12O48Si12,4.9998,7.65273,insulator-direct
Al8Ca12O48Si12,4.9989,7.65152,insulator-direct
Al8Ca12O48Si12,4.9996,7.65246,insulator-direct
Al8Ca12O48Si12,5.0018,7.65543,insulator-direct
Al8Ca12O48Si12,4.9987,7.65125,insulator-direct
Al8Ca12O48Si12,4.9991,7.65179,insulator-direct
Al8Ca12O48Si12,4.9993,7.65206,insulator-direct
Al8Ca12O48Si12,4.9996,7.65246,insulator-direct
Al8Cd12O48Si12,3.0603,5.03828,insulator-indirect
Al8Co12O48Si12,3.8364,6.08447,insulator-indirect
Al8Co12O48Si12,3.8365,6.0846,insulator-indirect
Al8Co12O48Si12,3.8361,6.08406,insulator-indirect
Al8Co12O48Si12,3.8367,6.08487,insulator-indirect
Al8Co12O48Si12,3.8371,6.08541,insulator-indirect
Al8Co12O48Si12,3.8365,6.0846,insulator-indirect
Al8Co12O48Si12,3.8363,6.08433,insulator-indirect
Al8Co12O48Si12,3.8358,6.08366,insulator-indirect
Al8Co12O48Si12,3.8369,6.08514,insulator-indirect
Al8Co12O48Si12,3.8364,6.08447,insulator-indirect
Al8Co12O48Si12,3.8368,6.08501,insulator-indirect
Al8Co12O48Si12,3.8361,6.08406,insulator-indirect
Al8Co12O48Si12,3.8363,6.08433,insulator-indirect
Al8Co12O48Si12,3.8363,6.08433,insulator-indirect
Al4Dy6H18Ni12,0,0,metal
Al4Dy6Ni12,0,0,metal
Al4Dy6Ni12,0,0,metal
Al4Er6H14Ni12,0,0,metal
Al4Er6Ni12,0,0,metal
Al4Er6Ni12,0,0,metal
Al8F48Li12Na12,7.0858,10.4647,insulator-direct
Al8F48Li12Na12,7.0922,10.4733,insulator-direct
Al8F48Li12Na12,7.09,10.4703,insulator-direct
Al8Fe12O48Si12,3.3247,5.3947,insulator-indirect_spin-polarized
Al8Fe12O48Si12,3.3255,5.39577,insulator-indirect_spin-polarized
Al8Fe12O48Si12,3.3262,5.39672,insulator-indirect_spin-polarized
Al8Fe12O48Si12,3.325,5.3951,insulator-indirect_spin-polarized
Al8Fe12O48Si12,3.3246,5.39456,insulator-indirect_spin-polarized
Al8Fe12O48Si12,3.3233,5.39281,insulator-indirect_spin-polarized
